ofício,Schreiben
crer,glauben
consistir,bestehen
disjuntor,Ausschalter
disjuntor,Schaltmechanismus
japona,Jacke
iniciar,aufnehmen
manducar,essen
lebre-europeia,Feldhase
grito,Schrei
velhice,Alter
dinamitar,sprengen
lebre-da-Califórnia,Eselhase
lebre-de-cauda-negra,Eselhase
angra,Bucht
entrelaçar,verflechten
sinusite,Nebenhöhlenentzündung
peixe-espada-preto,Degenfisch
trabalhador,fleißig
pouquinho,wenig
descolar,ablösen
sujeitar-se,beugen
agachar-se,kauern
consoante,reimend
Carocha,Käfer
Fusca,Käfer
-mente,-mäßig
-tomia,-tomie
charleston,20s Charleston
peixe-carneiro-europeu,Aalmutter
lota-do-rio,Aalquappe
enguia,Aal
urubu,Aasgeier
carniça,Aas
abacá,Abacá
alvacá,Abacá
bananeira-de-corda,Abacá
bananeira-de-flor,Abacá
bandala,Abacá
cânhamo-de-manila,Abacá
cânhamo-de-manilha,Abacá
ábaco,Abakus
abalone,Abalone
abandonar,abandonnieren
abandono,Abandonnierung
anormal,abartig
género,Abart
gênero,Abart
abasia,Abasie
abaxial,abaxial
degradar,abbauen
desmantelar,abbauen
desmontar,abbauen
diminuir,abbauen
reduzir,abbauen
decomposição,Abbau
desmontagem,Abbau
exploração,Abbau
extração,Abbau
decapante,Abbeizer
decapante,Abbeizmittel
comer,abbekommen
demissão,Abberufung
cancelamento,Abbestellung
dobrar,abbiegen
virar,abbiegen
ilustrar,abbilden
reproduzir,abbilden
retratar,abbilden
aberração,Abbildungsfehler
estampa,Abbildung
foto,Abbildung
gravura,Abbildung
gráfico,Abbildung
ilustração,Abbildung
imagem,Abbildung
reprodução,Abbildung
retrato,Abbildung
transformação,Abbildung
simulacro,Abbild
imagem,Abbild
desatar,abbinden
soltar,abbinden
reduzir,abblenden
abortar,abbrechen
parar,abbrechen
romper,abbrechen
suspender,abbrechen
cessar,abbrechen
interromper,abbrechen
brecar,abbremsen
frear,abbremsen
travar,abbremsen
desaceleração,Abbremsen
dissuadir,abbringen
demolição,Abbruch
interrupção,Abbruch
rompimento,Abbruch
ruptura,Abbruch
desmantelamento,Abbruch
suspensão,Abbruch
deduzir,abbuchen
debitar,abbuchen
demitir-se,abdanken
abdicar,abdanken
cobrir,abdecken
cobertura,Abdeckung
tampar,abdichten
calafetar,abdichten
estancar,abdichten
vedar,abdichten
vedação,Abdichtung
cegonha-de-Abdim,Abdimstorch
abdominal,abdominal
abdominalgia,Abdominalschmerz
abatimento,Abdrift
empurrar,abdrängen
abdução,Abduktion
abdutor,Abduktor
abelissauro,Abelisaurus
abelmosco,Abelmoschus
abeliano,abelsch
jantar,Abendbrot
anoitecer,Abenddämmerung
crepúsculo,Abenddämmerung
entardecer,Abenddämmerung
ceia,Abendessen
jantar,Abendessen
ocidente,Abendland
oeste,Abendland
poente,Abendland
ocidental,abendländisch
ceia,Abendmahl
Comunhão,Abendmahl
Eucaristia,Abendmahl
arrebol,Abendrot
arrebol,Abendröte
vespertino,Abendzeitung
tardinha,Abend
tarde,Abend
noite,Abend
aventureiro,abenteuerlich
aventura,Abenteuer
risco,Abenteuer
explorador,Abenteurer
agora,aber
superstição,Aberglaube
supersticioso,abergläubisch
desapossar,aberkennen
abjudicar,aberkennen
negação,Aberkennung
novamente,abermals
mas,aber
ora,aber
desviante,aberrant
aberração,Aberration
abissínio,Abessinierkatze
abessivo,Abessiv
partir,abfahren
lixeira,Abfalleimer
abandonar,abfallen
renegar,abfallen
diminuir,abfallen
cair,abfallen
subproduto,Abfallprodukt
lixo,Abfall
declive,Abfall
interceptar,abfangen
apanhar,abfangen
interceptar,abfangen
interceptador,Abfangjäger
registrar,abfassen
composição,Abfassung
redação,Abfassung
despachar,abfertigen
fiscal,Abfertiger
despacho,Abfertigung
expedição,Abfertigung
atendimento,Abfertigung
indenização,Abfindungssumme
acordo,Abfindung
conciliação,Abfindung
indenização,Abfindung
achatar,abflachen
esmorecer,abflauen
escoar-se,abfließen
descolagem,Abflug
partida,Abflug
drenagem,Abfluss
escoadouro,Abfluss
escoamento,Abfluss
esgoto,Abfluss
sucessão,Abfolge
série,Abfolge
consultar,abfragen
pejorativo,abfällig
revoltar-se,abfällig werden
desbotar,abfärben
laxar,abführen
laxante,Abführmittel
purgante,Abführmittel
cativo,abgabepflichtig
imposto,Abgabe
taxa,Abgabe
entregar,abgeben
cancelado,abgebrochen
lugar-comum,abgedroschene Phrase
banalidade,Abgedroschenheit
banal,abgedroschen
batido,abgedroschen
vulgar,abgedroschen
partir,abgehen
calejado,abgehärtet
combinado,abgekartet
calmo,abgeklärt
esclarecido,abgeklärt
pacato,abgeklärt
sereno,abgeklärt
tranquilo,abgeklärt
liberado,abgelassen
expirado,abgelaufen
afastado,abgelegen
indeferido,abgelehnt
Combinado!,Abgemacht!
Entendido!,Abgemacht!
combinado,abgemacht
adelgaçado,abgemagert
emagrecido,abgemagert
enfraquecido,abgemagert
deputado,Abgeordneter
representante,Abgeordneter
deputada,Abgeordnete
delegada,Abgeordnete
parlamentar,Abgeordnete
empobrecido,abgereichert
avulso,abgerissen
mensageiro,Abgesandter
isolamento,Abgeschlossenheit
estimado,abgeschätzt
exceto,abgesehen von
bloqueado,abgesperrt
choco,abgestanden
indiferente,abgestumpft
insensível,abgestumpft
recusado,abgewiesen
rejeitado,abgewiesen
repelido,abgewiesen
repulsado,abgewiesen
definhado,abgezehrt
reflexo,Abglanz
escorregar,abgleiten
ídolo,Abgott
definir,abgrenzen
delimitar,abgrenzen
delimitação,Abgrenzung
demarcação,Abgrenzung
abismo,Abgrund
despenhadeiro,Abgrund
precipício,Abgrund
deter,abhalten
impedir,abhalten
abordar,abhandeln
extraviado,abhandengekommen
perdido,abhandengekommen
perder-se,abhandenkommen
ensaio,Abhandlung
tratado,Abhandlung
dissertação,Abhandlung
declive,Abhang
encosta,Abhang
lavrar,abhauen
vazar,abhauen
levantar,abheben
retirar,abheben
sacar,abheben
tirar,abheben
decolar,abheben
descolar,abheben
pegar,abholen
retirar,abholen
desflorestar,abholzen
desmatar,abholzen
roçar,abholzen
desarborização,Abholzung
desflorestamento,Abholzung
desmatamento,Abholzung
abominar,abhorreszieren
depender,abhängen
dependente,abhängig
dependência,Abhängigkeit
viciado,abhängig
enrijecer,abhärten
abiogénese,Abiogenese
abiogênese,Abiogenese
abiogeneticamente,abiogenetisch
abiogenético,abiogenetisch
abiose,Abiose
abiótico,abiotisch
desviante,abirrend
aberração,Abirrung
desvio,Abirrung
nan,Abitur
abjudicação,Abjudikation
abjudicar,abjudizieren
extinguir-se,abklingen
filtragem,Abklärung
esclarecimento,Abklärung
afastar-se,abkommen
pacto,Abkommen
tratado,Abkommen
desatrelar,abkoppeln
derivado,Abkömmling
descendente,Abkömmling
rebento,Abkömmling
esfriar,abkühlen
resfriar,abkühlen
arrefecer,abkühlen
arrefecimento,Abkühlung
refrigeração,Abkühlung
resfriamento,Abkühlung
abreviar,abkürzen
abreviação,Abkürzung
encurtamento,Abkürzung
abreviatura,Abkürzung
depositar,ablagern
sedimentação,Ablagerung
arquivamento,Ablage
depósito,Ablage
desovar,ablaichen
ablactação,Ablaktation
ablação,Ablation
ablativo,ablativ
ablativo,Ablativ
caducar,ablaufen
expirar,ablaufen
executável,ablauffähig
partida,Ablauf
vencimento,Ablauf
processo,Ablauf
decurso,Ablauf
falecimento,Ableben
óbito,Ableben
descartar,ablegen
tirar,ablegen
despir,ablegen
declinatório,ablehnend
dispensar,ablehnen
negar,ablehnen
repelir,ablehnen
repudiar,ablehnen
indeferir,ablehnen
declinar,ablehnen
desaprovar,ablehnen
recusar,ablehnen
rejeitar,ablehnen
recusa,Ablehnung
refutação,Ablehnung
derivar,ableiten
dedução,Ableitung
derivada,Ableitung
desvio,Ableitung
diferencial,Ableitung
fuga,Ableitung
desviar,ablenken
distrair,ablenken
distração,Ablenkung
desvio,Ablenkung
legível,ablesbar
leitura,Ablesen
desmentir,ableugnen
renegação,Ableugnung
exaustor,Abluftventilator
ablutofobia,Ablutophobie
render,ablösen
remissão,Ablösung
substituição,Ablösung
desprendimento,Ablösung
combinar,abmachen
combinado,Abmachung
pacto,Abmachung
logout,Abmeldung
desmontar,abmontieren
encolhimento,Abnahme
liberação,Abnahme
realização,Abnahme
